0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,0,2,0,0,2,2,0,0,1,2,2,2,2,0,0,2,2,2,2,2,2,2,2,2
1,2,0,0,0,1,1,0,0,2,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1
2,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
3,0,0,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
4,2,-1,2,2,0,1,2,2,2,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1
5,2,-1,2,2,-1,0,2,2,2,1,1,1,2,2,2,1,2,1,1,1,1,1,1,1
6,0,0,2,2,2,2,0,2,2,2,2,2,2,1,0,2,2,2,2,2,2,2,2,2
7,0,0,2,2,2,2,2,0,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2
8,-1,2,2,2,2,2,2,2,0,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2
9,2,-1,2,2,-1,-1,2,2,2,0,2,2,2,2,2,0,2,0,2,2,2,2,2,0
10,2,-1,2,2,-1,-1,2,2,2,2,0,2,2,2,2,2,2,0,2,0,0,0,0,0
11,2,-1,2,2,-1,-1,2,2,2,2,2,0,2,2,2,2,2,0,0,0,0,0,0,0
12,2,-1,2,2,-1,2,2,2,2,2,2,2,0,2,2,0,0,0,2,2,2,2,2,0
13,0,0,2,2,2,2,-1,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2
14,0,0,2,2,2,2,0,0,0,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2
15,2,-1,2,2,-1,-1,2,2,2,0,2,2,0,2,2,0,2,2,2,2,2,2,2,2
16,2,-1,2,2,-1,2,2,2,2,2,2,2,0,2,2,2,0,0,2,2,2,2,2,2
17,2,-1,2,2,-1,-1,2,2,2,0,0,0,0,2,2,2,0,0,0,2,2,2,2,2
18,2,-1,2,2,-1,-1,2,2,2,2,2,0,2,2,2,2,2,0,0,2,2,2,2,2
19,2,-1,2,2,-1,-1,2,2,2,2,0,0,2,2,2,2,2,2,2,0,2,2,2,2
20,2,-1,2,2,-1,-1,2,2,2,2,0,0,2,2,2,2,2,2,2,2,0,2,2,2
21,2,-1,2,2,-1,-1,2,2,2,2,0,0,2,2,2,2,2,2,2,2,2,0,2,2
22,2,-1,2,2,-1,-1,2,2,2,2,0,0,2,2,2,2,2,2,2,2,2,2,0,2
23,2,-1,2,2,-1,-1,2,2,2,0,0,0,0,2,2,2,2,2,2,2,2,2,2,0
